metric,category,cfm_mean,cfm_std,xgb_mean,xgb_std,delta
rmse_mean,both_rain,6.837220048904419,6.22414810562512,6.842030155658722,5.80626989112022,-0.004810106754303156
rmse_mean,prism_only,6.69790067076683,6.883242044274013,6.567023485898972,6.732265051855652,0.1308771848678587
rmse_mean,all,5.1391098510335995,6.283126739050896,5.285572124852075,5.919794868462737,-0.1464622738184751
crps,both_rain,3.719572343200583,3.654394906125981,3.532516462414745,3.2762460247068073,0.187055880785838
crps,prism_only,3.5801075995959786,3.858090650042964,3.3608221634449436,3.6504415037687807,0.21928543615103502
crps,all,2.7662705926020723,3.5627623437113813,2.678451214516423,3.256245601248224,0.0878193780856491
spread_skill,both_rain,0.3756752571922731,0.37685909846844495,0.8155353628028547,0.5800027677167158,-0.43986010561058153
spread_skill,prism_only,0.2986773846531959,0.30076188518623537,0.7500225988078707,0.5311508833974989,-0.4513452141546748
spread_skill,all,0.49277145763837876,0.3959673913774074,0.9517579969183834,0.5582695000473377,-0.4589865392800046
coverage_50,both_rain,0.04243426310741688,0.04770093813932237,0.10398317615089514,0.07833421415669103,-0.06154891304347826
coverage_50,prism_only,0.03641404251918158,0.010668865015183517,0.10298413523017905,0.04101363071447982,-0.06657009271099747
coverage_50,all,0.030404145353793693,0.03356459683997024,0.07771243310125983,0.06935285379508055,-0.047308287747466135
coverage_80,both_rain,0.1140315297314578,0.08261743972735114,0.16384970428388748,0.10310814636437617,-0.04981817455242968
coverage_80,prism_only,0.13479160006393862,0.028083091974808464,0.1751248801150895,0.07538448413600539,-0.04033328005115089
coverage_80,all,0.11136531152315997,0.05897390279364762,0.1272611626172208,0.10581300809224753,-0.015895851094060845
coverage_90,both_rain,0.13272758152173914,0.09157984771840572,0.20637587915601024,0.10610757427545973,-0.07364829763427111
coverage_90,prism_only,0.15487332161125317,0.029821713129985723,0.23609834558823528,0.09187430946405585,-0.08122502397698211
coverage_90,all,0.12593502829875913,0.06737587966565048,0.1717536350288908,0.12044331069906893,-0.04581860673013166
